Location;Latitude;Longitude;Time_Occurred;Area_ID;Area_Name;Reporting_District_no;Part 1-2;Victim_Age;Victim_Sex;Victim_Descent;Premise_Description;Weapon_Used_Code;Weapon_Description;Status;Status_Description;Crime_Category
6000 N FIGUEROA ST;34,1113;-118,1893;1350;11;Northeast;1139;1;0;X;X;MARKET;None;None;IC;Invest Cont;Property Crimes
100 S VERMONT AV;34,0728;-118,2917;2130;20;Olympic;2019;2;0;X;X;AUTO SUPPLY STORE*;None;None;IC;Invest Cont;Property Crimes
1900 BERKELEY AV;34,0825;-118,2578;2145;11;Northeast;1183;2;46;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
FIGUEROA;34,1381;-118,1874;1000;11;Northeast;1109;1;44;F;O;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
JUANITA AV;34,0764;-118,2903;1830;2;Rampart;212;2;57;F;B;STREET;511;VERBAL THREAT;IC;Invest Cont;Crimes against Public Order
15400 CHASE ST;34,2247;-118,4677;1000;19;Mission;1981;1;43;M;H;STREET;212;BOTTLE;AO;Adult Other;Violent Crimes
6100 LINFORTH DR;34,1269;-118,3192;1407;6;Hollywood;627;1;50;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
1300 E 112TH ST;33,9332;-118,2522;1230;18;Southeast;1846;1;30;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
400 S MAIN ST;34,0478;-118,2484;2345;1;Central;144;2;34;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Crimes against Public Order
2900 W OLYMPIC BL;34,0526;-118,2979;1830;20;Olympic;2055;1;50;M;H;BANK;None;None;IC;Invest Cont;Property Crimes
1300 W SUNSET BL;34,0685;-118,246;845;1;Central;101;1;31;F;B;SIDEWALK;102;HAND GUN;AA;Adult Arrest;Violent Crimes
11200 BALBOA BL;34,274;-118,5022;1100;17;Devonshire;1737;2;28;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
11600 W OLYMPIC BL;34,0354;-118,4459;1;8;West LA;881;1;68;M;W;PUBLIC STORAGE;None;None;IC;Invest Cont;Property Crimes
300 S NEW HAMPSHIRE AV;34,0674;-118,2929;1200;20;Olympic;2026;2;22;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
5300 WILSHIRE BL;34,0623;-118,344;1120;7;Wilshire;735;1;26;F;H;COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.);None;None;IC;Invest Cont;Property Crimes
3300 W PICO BL;34,0506;-118,3127;130;20;Olympic;2062;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
6600 TOPANGA CANYON BL;34,1904;-118,6059;1850;21;Topanga;2156;1;31;M;X;CLOTHING STORE;None;None;AO;Adult Other;Property Crimes
300 W 1ST ST;34,0536;-118,2455;1900;1;Central;123;1;34;F;H;GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY);500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
14400 VALERIO ST;34,2048;-118,4468;1625;9;Van Nuys;906;2;56;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
115TH;33,9303;-118,2493;300;18;Southeast;1846;1;22;F;B;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
6000 HOLLYWOOD BL;34,103;-118,3225;2105;6;Hollywood;637;1;34;M;B;PARKING LOT;508;MARTIAL ARTS WEAPONS;IC;Invest Cont;Violent Crimes
12300 OXNARD ST;34,1794;-118,4009;421;15;N Hollywood;1532;2;44;M;H;STREET;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
19700 RINALDI ST;34,2748;-118,5621;1750;17;Devonshire;1701;2;51;M;W;HEALTH SPA/GYM;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
EL SEGUNDO;33,9164;-118,2827;1515;18;Southeast;1831;2;52;M;H;OTHER BUSINESS;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
4300 S VERMONT AV;34,0073;-118,298;2035;3;Southwest;397;2;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
400 S MAIN ST;34,0478;-118,2484;330;1;Central;144;1;36;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
1100 MOHAWK ST;34,0775;-118,2653;1;11;Northeast;1181;2;26;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
4000 S WESTERN AV;34,0109;-118,3089;1000;3;Southwest;395;2;19;X;X;DRUG STORE;None;None;IC;Invest Cont;Property Crimes
3200 HAMILTON WY;34,0859;-118,2741;930;11;Northeast;1171;1;42;M;H;DRIVEWAY;None;None;AA;Adult Arrest;Property Crimes
700 W 7TH ST;34,048;-118,2577;1950;1;Central;162;1;23;M;H;DEPARTMENT STORE;None;None;IC;Invest Cont;Property Crimes
8500 TOBIAS AV;34,2248;-118,4517;1700;19;Mission;1985;2;38;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
4300 WHITSETT AV;34,1486;-118,4052;2100;15;N Hollywood;1581;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1700 SANTEE ST;34,0312;-118,2615;1900;1;Central;195;1;0;X;X;ALLEY;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
3800 MENTONE AV;34,0198;-118,4049;1955;14;Pacific;1406;1;32;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
4700 TACANA ST;34,0163;-118,3523;1900;3;Southwest;361;2;33;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
5400 COMPTON AV;33,9935;-118,2478;900;13;Newton;1377;2;23;F;B;SINGLE FAMILY DWELLING;511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
1500 N FRIES AV;33,7932;-118,2659;1700;5;Harbor;515;1;40;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
15100 ORO GRANDE ST;34,2936;-118,4609;345;19;Mission;1924;2;24;F;H;SINGLE FAMILY DWELLING;None;None;AO;Adult Other;Crimes against Public Order
1500 LINCOLN BL;33,9975;-118,4599;2330;14;Pacific;1415;2;60;M;W;OTHER STORE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
5400 NEWCASTLE AV;34,1687;-118,5244;300;10;West Valley;1065;1;51;M;W;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
6700 N SEPULVEDA BL;34,1921;-118,4662;1330;9;Van Nuys;923;2;18;M;H;CELL PHONE STORE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
15300 VENTURA BL;34,1564;-118,463;1945;9;Van Nuys;971;1;27;M;B;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
3500 E 7TH ST;34,0244;-118,1993;430;4;Hollenbeck;479;1;0;X;X;SIDEWALK;None;None;IC;Invest Cont;Property Crimes
800 W 77TH ST;33,9698;-118,2871;1200;12;77th Street;1257;1;6;F;H;ELEMENTARY SCHOOL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
5400 TROOST AV;34,1687;-118,3866;1200;15;N Hollywood;1546;2;62;F;H;SINGLE FAMILY DWELLING;None;None;AA;Adult Arrest;Crimes against Public Order
800 ACADEMY RD;34,0828;-118,2365;830;11;Northeast;1186;1;40;F;H;PARK/PLAYGROUND;None;None;IC;Invest Cont;Property Crimes
1900 W SLAUSON AV;33,9921;-118,3108;245;12;77th Street;1213;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
3200 COLONY CIR;34,1121;-118,2776;1000;11;Northeast;1132;2;62;M;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;AO;Adult Other;Property Crimes
11900 MONTANA AV;34,0473;-118,4768;1045;8;West LA;831;1;0;Unknown;Unknown;ALLEY;None;None;IC;Invest Cont;Property Crimes
7900 RESEDA BL;34,2148;-118,5404;125;10;West Valley;1003;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
STANFORD AV;34,019;-118,2606;1415;13;Newton;1333;1;22;M;H;SIDEWALK;500;UNKNOWN WEAPON/OTHER WEAPON;AA;Adult Arrest;Violent Crimes
100 S FAIRFAX AV;34,0728;-118,3656;730;7;Wilshire;723;2;50;M;W;HOTEL;None;None;AO;Adult Other;Property Crimes
6600 KENTLAND AV;34,1905;-118,6176;435;21;Topanga;2144;1;52;F;O;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
3400 LONDON ST;34,0784;-118,2816;2320;2;Rampart;204;1;24;M;B;SIDEWALK;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
6400 S VICTORIA AV;33,9818;-118,3323;900;12;77th Street;1241;1;54;M;B;SINGLE FAMILY DWELLING;None;None;AO;Adult Other;Property Crimes
24200 GILMORE ST;34,1858;-118,6533;2230;21;Topanga;2141;2;19;F;H;SINGLE FAMILY DWELLING;511;VERBAL THREAT;AA;Adult Arrest;Crimes against Public Order
2600 COLORADO BL;34,1421;-118,223;1545;11;Northeast;1113;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
1100 MAPLE AV;34,0388;-118,2574;1800;1;Central;185;1;37;M;H;OTHER BUSINESS;102;HAND GUN;AO;Adult Other;Property Crimes
SHERMAN WY;34,201;-118,5977;1200;21;Topanga;2146;2;24;F;W;PARKING LOT;None;None;AA;Adult Arrest;Crimes against Public Order
8500 MARKLEIN AV;34,2247;-118,4709;400;19;Mission;1981;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
3600 WILSHIRE BL;34,0636;-118,3047;2200;20;Olympic;2024;1;41;M;B;HEALTH SPA/GYM;None;None;IC;Invest Cont;Property Crimes
1100 MARIETTA ST;34,0282;-118,2136;1230;4;Hollenbeck;487;2;33;M;H;OTHER RESIDENCE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
13700 OXNARD ST;34,1794;-118,4319;230;9;Van Nuys;946;1;60;M;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
PALMETTO;34,04;-118,2371;1700;1;Central;159;1;51;M;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
7800 SAN FERNANDO RD;34,213;-118,3592;1210;16;Foothill;1698;2;32;F;H;PUBLIC STORAGE;None;None;IC;Invest Cont;Crimes against Public Order
4400 CALHOUN AV;34,1507;-118,4422;2145;9;Van Nuys;985;1;28;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
3300 S BROADWAY;34,0199;-118,2733;1730;13;Newton;1331;2;50;M;O;WAREHOUSE;None;None;IC;Invest Cont;Property Crimes
BIG TUJUNGA CANYON RD;34,2796;-118,3046;1400;16;Foothill;1618;1;34;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
800 W 126TH ST;33,9178;-118,2909;2140;18;Southeast;1831;2;21;F;B;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
17900 W VENTURA BL;34,1675;-118,5226;810;10;West Valley;1065;2;28;F;H;VEHICLE, PASSENGER/TRUCK;305;FIXED OBJECT;IC;Invest Cont;Property Crimes
2400 ROSCOMARE RD;34,1191;-118,4638;1520;8;West LA;806;2;71;M;W;SINGLE FAMILY DWELLING;None;None;AA;Adult Arrest;Crimes against Public Order
1000 E 10TH ST;34,0331;-118,2476;530;13;Newton;1303;1;0;M;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
10800 WEIGAND AV;33,937;-118,2302;1540;18;Southeast;1839;2;25;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
100 N GAFFEY ST;33,7433;-118,2923;800;5;Harbor;557;1;0;Unknown;Unknown;STREET;None;None;AA;Adult Arrest;Property Crimes
600 W 81ST ST;33,9655;-118,2853;2200;12;77th Street;1266;2;0;X;X;STREET;106;UNKNOWN FIREARM;IC;Invest Cont;Crimes against Public Order
7900 W SUNSET BL;34,098;-118,3623;30;6;Hollywood;632;1;38;M;W;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
1100 E 112TH ST;33,9328;-118,2576;1810;18;Southeast;1844;2;41;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
CENTRAL;33,9547;-118,2564;1515;18;Southeast;1806;1;57;M;H;MTA BUS;200;KNIFE WITH BLADE 6INCHES OR LESS;AO;Adult Other;Crimes against Public Order
1500 E 53RD ST;33,9993;-118,2432;2000;13;Newton;1367;2;11;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Crimes against Persons
7900 RESEDA BL;34,2148;-118,5404;140;10;West Valley;1003;1;0;Unknown;Unknown;PARKING LOT;None;None;AA;Adult Arrest;Property Crimes
8200 WOODMAN AV;34,2196;-118,4319;2100;19;Mission;1999;1;63;M;O;SHOPPING MALL (COMMON AREA);None;None;IC;Invest Cont;Property Crimes
2800 FOLSOM ST;34,0458;-118,2009;930;4;Hollenbeck;457;1;35;M;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);102;HAND GUN;IC;Invest Cont;Crimes against Public Order
2400 S CAROLINA ST;33,7212;-118,2909;1600;5;Harbor;587;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
5600 CRESCENT PARK;33,9717;-118,4281;1800;14;Pacific;1464;1;72;F;H;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
1900 HILLHURST AV;34,1054;-118,2874;1240;11;Northeast;1142;2;44;F;O;OTHER BUSINESS;None;None;AA;Adult Arrest;Property Crimes
10900 ROCHESTER AV;34,0562;-118,4423;1502;8;West LA;833;1;25;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
12100 W PICO BL;34,0341;-118,4525;1600;8;West LA;881;2;68;F;W;MARKET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
5400 KATHERINE AV;34,1685;-118,4433;800;9;Van Nuys;943;2;59;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
SLAUSON AV;33,9893;-118,2565;1330;13;Newton;1385;1;25;F;H;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
6700 RIVERTON AV;34,1922;-118,3659;1915;15;N Hollywood;1519;2;53;M;W;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
200 W 14TH ST;34,0361;-118,2634;650;1;Central;192;2;22;M;H;STREET;511;VERBAL THREAT;IC;Invest Cont;Violent Crimes
600 W 41ST DR;34,0087;-118,2866;1330;3;Southwest;398;2;44;M;H;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
3700 TROUSDALE PY;34,0215;-118,2868;1700;3;Southwest;358;1;66;M;W;COLLEGE/JUNIOR COLLEGE/UNIVERSITY;None;None;IC;Invest Cont;Property Crimes
1100 W 27TH ST;34,0303;-118,284;200;3;Southwest;327;2;21;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
VERMONT AV;34,0287;-118,2915;1115;3;Southwest;338;2;60;F;H;BUS STOP;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
9000 AIRPORT BL;33,9546;-118,3858;2100;14;Pacific;1488;2;0;Unknown;Unknown;OTHER BUSINESS;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
4200 W WASHINGTON BL;34,0429;-118,3329;1325;7;Wilshire;777;2;0;F;H;OTHER BUSINESS;None;None;AO;Adult Other;Fraud and White-Collar Crimes
11200 DE GARMO AV;34,2736;-118,4145;2000;16;Foothill;1612;1;30;F;H;STREET;102;HAND GUN;IC;Invest Cont;Property Crimes
11400 MOORPARK ST;34,1504;-118,379;135;15;N Hollywood;1563;1;22;F;W;BAR/COCKTAIL/NIGHTCLUB;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
8400 LANGDON AV;34,2231;-118,4699;1300;19;Mission;1981;1;35;F;O;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
600 W 5TH ST;34,0502;-118,254;1600;1;Central;152;1;26;M;W;LIBRARY;None;None;IC;Invest Cont;Property Crimes
8300 VAN NUYS BL;34,2215;-118,4488;2045;19;Mission;1985;1;36;M;H;DEPARTMENT STORE;None;None;IC;Invest Cont;Property Crimes
8900 MENLO AV;33,9565;-118,2904;1300;18;Southeast;1801;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
10900 WHIPPLE ST;34,1481;-118,3673;1000;15;N Hollywood;1566;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
3200 CARTER AV;33,9868;-118,4451;2125;14;Pacific;1444;2;22;M;B;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
200 W 83RD ST;33,9642;-118,2761;1340;12;77th Street;1268;2;67;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;VERBAL THREAT;AA;Adult Arrest;Crimes against Public Order
95TH ST;33,9507;-118,2461;30;18;Southeast;1826;1;16;M;H;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
WILSHIRE;34,0617;-118,3078;530;20;Olympic;2033;1;0;X;X;STREET;None;None;IC;Invest Cont;Property Crimes
600 EXPOSITION BL;34,0182;-118,2824;815;3;Southwest;378;1;19;F;A;COLLEGE/JUNIOR COLLEGE/UNIVERSITY;None;None;IC;Invest Cont;Property Crimes
3200 WILSHIRE BL;34,0618;-118,2923;2232;20;Olympic;2036;1;54;M;W;PARKING UNDERGROUND/BUILDING;None;None;IC;Invest Cont;Property Crimes
1400 S CATALINA ST;34,0457;-118,2947;2030;20;Olympic;2076;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
KING;34,0073;-118,298;1400;3;Southwest;397;1;56;M;B;PARKING LOT;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
PACIFIC COAST HY;34,0358;-118,5357;1800;8;West LA;822;1;43;F;B;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
1900 E 112TH ST;33,9335;-118,239;1950;18;Southeast;1849;2;38;M;H;VEHICLE, PASSENGER/TRUCK;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
10600 LOUISE AV;34,2631;-118,511;1500;17;Devonshire;1745;1;19;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
2200 VENICE BL;34,0454;-118,3072;1800;20;Olympic;2073;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
11500 ADDISON ST;34,1613;-118,3829;2035;15;N Hollywood;1546;1;28;F;W;STREET;None;None;IC;Invest Cont;Property Crimes
1500 W PACIFIC COAST HY;33,7895;-118,3043;1900;5;Harbor;511;1;29;M;H;PARKING UNDERGROUND/BUILDING;None;None;IC;Invest Cont;Property Crimes
19000 PARTHENIA ST;34,2283;-118,547;1510;17;Devonshire;1793;2;64;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
100 THE GROVE DR;34,0747;-118,3563;1935;7;Wilshire;724;1;27;M;H;THE GROVE;None;None;IC;Invest Cont;Property Crimes
800 N ALAMEDA ST;34,0563;-118,2374;1330;1;Central;119;2;65;M;H;MTA - GOLD LINE - UNION STATION;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
11100 BALBOA BL;34,2757;-118,5144;1245;17;Devonshire;1729;1;0;X;X;DEPARTMENT STORE;None;None;IC;Invest Cont;Property Crimes
3100 DURAND DR;34,1245;-118,3235;235;6;Hollywood;615;1;59;F;W;SINGLE FAMILY DWELLING;None;None;AA;Adult Arrest;Property Crimes
400 S COCHRAN AV;34,0649;-118,3472;700;7;Wilshire;736;1;51;F;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
MAIN ST;33,9564;-118,2739;1000;18;Southeast;1802;1;49;M;H;LAUNDROMAT;None;None;IC;Invest Cont;Property Crimes
3300 S FIGUEROA ST;34,0268;-118,2808;1900;3;Southwest;328;1;99;M;W;PARKING UNDERGROUND/BUILDING;None;None;IC;Invest Cont;Property Crimes
300 BOYD ST;34,0467;-118,2427;1830;1;Central;138;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
8500 SHIRLEY AV;34,2246;-118,5579;1800;17;Devonshire;1792;1;0;X;X;STREET;None;None;IC;Invest Cont;Property Crimes
2700 S VERMONT AV;34,0304;-118,2915;1730;3;Southwest;325;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
900 N WESTERN AV;33,7501;-118,3092;1200;5;Harbor;541;1;0;M;O;MEDICAL/DENTAL OFFICES;None;None;IC;Invest Cont;Property Crimes
5800 SANTA MONICA BL;34,0908;-118,3157;1;6;Hollywood;677;2;0;X;X;OTHER STORE;None;None;AA;Adult Arrest;Other Crimes
BROADWAY;34,0437;-118,2547;300;1;Central;163;1;19;X;X;OTHER STORE;None;None;IC;Invest Cont;Property Crimes
1100 CRENSHAW BL;34,0527;-118,3241;1945;7;Wilshire;759;1;29;M;A;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
18600 OXNARD ST;34,18;-118,5386;2350;10;West Valley;1043;2;0;M;O;TRANSITIONAL HOUSING/HALFWAY HOUSE;None;None;AA;Adult Arrest;Property Crimes
500 W 94TH ST;33,9555;-118,2871;1440;18;Southeast;1801;2;32;M;H;SINGLE FAMILY DWELLING;None;None;AO;Adult Other;Crimes against Public Order
HOLLYWOOD BL;34,1016;-118,335;1730;6;Hollywood;636;2;47;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
2600 W VERNON AV;34,0037;-118,3214;2100;3;Southwest;392;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
6500 CANOGA AV;34,1884;-118,5975;900;21;Topanga;2158;2;49;M;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
14100 MAGNOLIA BL;34,1668;-118,4445;1630;9;Van Nuys;955;2;20;M;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
1200 WILSHIRE BL;34,053;-118,2649;920;2;Rampart;257;2;34;F;O;HOSPITAL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
20900 W VENTURA BL;34,1664;-118,5882;1000;21;Topanga;2187;1;50;M;W;CLEANER/LAUNDROMAT;None;None;IC;Invest Cont;Property Crimes
6500 COLDWATER CANYON AV;34,1936;-118,4166;712;15;N Hollywood;1522;2;50;M;H;STREET;511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
3700 CLARINGTON AV;34,0248;-118,4021;1510;14;Pacific;1407;2;13;F;H;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);JO;Juv Other;Violent Crimes
800 W 129TH ST;33,9154;-118,2894;2200;18;Southeast;1851;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
9500 N SEPULVEDA BL;34,2428;-118,4674;1805;19;Mission;1962;2;17;F;H;PARKING LOT;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
8200 TOWNE AV;33,9647;-118,2673;100;12;77th Street;1269;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
5100 SAN RAFAEL AV;34,113;-118,2055;2100;11;Northeast;1116;2;27;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
2400 DALLAS ST;34,0939;-118,2398;2330;11;Northeast;1176;2;0;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
2500 S WESTERN AV;34,0337;-118,309;900;3;Southwest;316;2;28;F;B;OTHER BUSINESS;511;VERBAL THREAT;AO;Adult Other;Crimes against Public Order
MARENGO;34,0651;-118,2116;1215;4;Hollenbeck;423;2;0;M;W;STREET;None;None;AA;Adult Arrest;Property Crimes
DENKER AV;33,9884;-118,3046;2100;12;77th Street;1235;1;48;M;H;STREET;None;None;IC;Invest Cont;Property Crimes
WEST;34,0128;-118,3447;1927;3;Southwest;363;1;45;F;B;OTHER RESIDENCE;None;None;IC;Invest Cont;Property Crimes
5400 VIRGINIA AV;34,0919;-118,3077;2030;6;Hollywood;669;1;0;Unknown;Unknown;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
8900 HADDON AV;34,2314;-118,3973;100;16;Foothill;1663;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
5500 W HOLLYWOOD BL;34,1038;-118,3151;2200;6;Hollywood;638;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2900 W 8TH ST;34,0577;-118,2891;1750;20;Olympic;2049;1;36;F;A;PARKING UNDERGROUND/BUILDING;None;None;IC;Invest Cont;Property Crimes
9200 LANGDON AV;34,2374;-118,4698;1520;19;Mission;1961;2;46;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
PACIFIC AV;33,9762;-118,4629;1800;14;Pacific;1452;1;35;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
36TH ST;34,0146;-118,2681;1445;13;Newton;1342;1;46;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
